;ts_start;ts_stop;sciName;comName_en;confidence;comName;speciesCode;category;taxonOrder;bandingCodes;comNameCodes;sciNameCodes;order;familyCode;familyComName;familySciName;extinct;extinctYear;photo_url
53;168.0;171.0;Strix nebulosa;Great Gray Owl;0.56806564;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
54;168.0;171.0;Columba oenas;Stock Dove;0.12556835;Pigeon colombin;stodov1;species;1854.0;[];['STDO'];['COOE'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/e/e6/Columba_oenas1.jpg
55;171.0;174.0;Bubo bubo;Eurasian Eagle-Owl;0.4962062;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
56;180.0;183.0;Bubo bubo;Eurasian Eagle-Owl;0.53560615;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
57;192.0;195.0;Bubo bubo;Eurasian Eagle-Owl;0.95053613;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
58;207.0;210.0;Bubo bubo;Eurasian Eagle-Owl;0.9312525;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
59;213.0;216.0;Strix nebulosa;Great Gray Owl;0.15096629;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
60;222.0;225.0;Strix nebulosa;Great Gray Owl;0.83421224;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
61;228.0;231.0;Bubo bubo;Eurasian Eagle-Owl;0.88092875;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
62;228.0;231.0;Strix nebulosa;Great Gray Owl;0.4779265;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
63;231.0;234.0;Psiloscops flammeolus;Flammulated Owl;0.118722595;Petit-duc nain;flaowl;species;8370.0;['FLOW'];[];['PSFL'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/9/94/Flammulated_owl.jpg
